,Crypto,Funding Rate,Exchange,date_time
1737,"""XLM"" ",-0.0232,"""FTX XLM ",2022-05-28 04:00:53.054651
1744,"""XLMT"" ",0.0887,"""BitMEX XLMT ",2022-05-28 04:00:53.054651
1747,"""XMR"" ",0.01,"""Binance XMR ",2022-05-28 04:00:53.054651
1749,"""XMR"" ",0.01019592,"""dYdX XMR ",2022-05-28 04:00:53.054651
1751,"""XMR"" ",0.0,"""FTX XMR ",2022-05-28 04:00:53.054651
1755,"""XRPBU"" ",0.01,"""Binance XRPBU ",2022-05-28 04:00:53.054651
1761,"""XRPBUSD"" ",-0.001051,"""Binance XRPBUSD ",2022-05-28 04:00:53.054651
1770,"""XRPT"" ",0.01,"""BitMEX XRPT ",2022-05-28 04:00:53.054651
1773,"""YFI"" ",-0.008888,"""Binance YFI ",2022-05-28 04:00:53.054651
1775,"""YFI"" ",-9.304e-05,"""dYdX YFI ",2022-05-28 04:00:53.054651
1777,"""YFI"" ",-0.0192,"""FTX YFI ",2022-05-28 04:00:53.054651
1781,"""YFII"" ",0.01,"""Binance YFII ",2022-05-28 04:00:53.054651
1784,"""YFII"" ",-1.0144,"""FTX YFII ",2022-05-28 04:00:53.054651
1788,"""ZEC"" ",-0.002168,"""Binance ZEC ",2022-05-28 04:00:53.054651
1790,"""ZEC"" ",0.00974504,"""dYdX ZEC ",2022-05-28 04:00:53.054651
1792,"""ZEC"" ",-0.0128,"""FTX ZEC ",2022-05-28 04:00:53.054651
1796,"""ZEN"" ",-0.006226,"""Binance ZEN ",2022-05-28 04:00:53.054651
1802,"""ZIL"" ",0.006863,"""Binance ZIL ",2022-05-28 04:00:53.054651
1805,"""ZIL"" ",-0.008,"""FTX ZIL ",2022-05-28 04:00:53.054651
1809,"""ZRX"" ",-0.029462,"""Binance ZRX ",2022-05-28 04:00:53.054651
1811,"""ZRX"" ",0.00072328,"""dYdX ZRX ",2022-05-28 04:00:53.054651
1813,"""ZRX"" ",-0.028,"""FTX ZRX ",2022-05-28 04:00:53.054651
